formulation_id,generation,design_stage,mechanism_combination,structural_module_id,chemical_module_id,encapsulation_module_id,components,structural_module,chemical_module,encapsulation_module,expected_membrane_coverage,expected_protein_coverage,expected_nucleic_acid_coverage,design_rationale,initial_assay_risk
IBC-G1-14,G1A_non_encapsulation,Structural + Chemical,S4,C2,,trehalose; glycerol; trolox; EDTA,Trehalose + Glycerol,Trolox + EDTA,,high,high,high,balanced two-mechanism baseline; tests whether structural plus chemical entropy control is sufficient,medium
IBC-G1-15,G1A_non_encapsulation,Structural + Chemical,S4,C3,,trehalose; glycerol; trolox; glutathione,Trehalose + Glycerol,Trolox + Glutathione,,high,high,medium,balanced two-mechanism baseline; tests whether structural plus chemical entropy control is sufficient,low
IBC-G1-16,G1A_non_encapsulation,Structural + Chemical,S4,C4,,trehalose; glycerol; catalase; trolox,Trehalose + Glycerol,Catalase + Trolox,,high,high,medium,balanced two-mechanism baseline; tests whether structural plus chemical entropy control is sufficient,low
IBC-G1-17,G1A_non_encapsulation,Structural + Chemical,S5,C1,,dextran; PEG; trolox,Dextran + PEG,Trolox,,medium,high,medium,balanced two-mechanism baseline; tests whether structural plus chemical entropy control is sufficient,medium
IBC-G1-18,G1A_non_encapsulation,Structural + Chemical,S5,C2,,dextran; PEG; trolox; EDTA,Dextran + PEG,Trolox + EDTA,,medium,high,high,balanced two-mechanism baseline; tests whether structural plus chemical entropy control is sufficient,medium
IBC-G1-19,G1A_non_encapsulation,Structural + Chemical,S5,C3,,dextran; PEG; trolox; glutathione,Dextran + PEG,Trolox + Glutathione,,medium,high,medium,balanced two-mechanism baseline; tests whether structural plus chemical entropy control is sufficient,medium
IBC-G1-20,G1A_non_encapsulation,Structural + Chemical,S5,C4,,dextran; PEG; catalase; trolox,Dextran + PEG,Catalase + Trolox,,medium,high,medium,balanced two-mechanism baseline; tests whether structural plus chemical entropy control is sufficient,medium
IBC-G1-21,G1A_non_encapsulation,Structural + Chemical,S6,C1,,trehalose; dextran; PEG; trolox,Trehalose + Dextran + PEG,Trolox,,high,high,medium,balanced two-mechanism baseline; tests whether structural plus chemical entropy control is sufficient,medium
IBC-G1-22,G1A_non_encapsulation,Structural + Chemical,S6,C2,,trehalose; dextran; PEG; trolox; EDTA,Trehalose + Dextran + PEG,Trolox + EDTA,,high,high,high,balanced two-mechanism baseline; tests whether structural plus chemical entropy control is sufficient,medium
IBC-G1-23,G1A_non_encapsulation,Structural + Chemical,S6,C3,,trehalose; dextran; PEG; trolox; glutathione,Trehalose + Dextran + PEG,Trolox + Glutathione,,high,high,medium,balanced two-mechanism baseline; tests whether structural plus chemical entropy control is sufficient,medium
IBC-G1-24,G1A_non_encapsulation,Structural + Chemical,S6,C4,,trehalose; dextran; PEG; catalase; trolox,Trehalose + Dextran + PEG,Catalase + Trolox,,high,high,medium,balanced two-mechanism baseline; tests whether structural plus chemical entropy control is sufficient,medium
IBC-G1-25,G1B_encapsulation_enhanced,Structural + Chemical + Encapsulation,S1,C1,E1,trehalose; trolox; silica,Trehalose,Trolox,Silica,high,high,high,paired encapsulation-enhanced version of G1A to test added value of physical confinement,cleanup/PCR
IBC-G1-26,G1B_encapsulation_enhanced,Structural + Chemical + Encapsulation,S1,C2,E2,trehalose; trolox; EDTA; calcium phosphate,Trehalose,Trolox + EDTA,Calcium phosphate,high,high,high,paired encapsulation-enhanced version of G1A to test added value of physical confinement,metal-enzyme
IBC-G1-27,G1B_encapsulation_enhanced,Structural + Chemical + Encapsulation,S1,C3,E1,trehalose; trolox; glutathione; silica,Trehalose,Trolox + Glutathione,Silica,high,high,high,paired encapsulation-enhanced version of G1A to test added value of physical confinement,cleanup/PCR
IBC-G1-28,G1B_encapsulation_enhanced,Structural + Chemical + Encapsulation,S1,C4,E2,trehalose; catalase; trolox; calcium phosphate,Trehalose,Catalase + Trolox,Calcium phosphate,high,high,high,paired encapsulation-enhanced version of G1A to test added value of physical confinement,medium
IBC-G1-29,G1B_encapsulation_enhanced,Structural + Chemical + Encapsulation,S2,C1,E1,trehalose; dextran; trolox; silica,Trehalose + Dextran,Trolox,Silica,high,high,high,paired encapsulation-enhanced version of G1A to test added value of physical confinement,cleanup/PCR
IBC-G1-30,G1B_encapsulation_enhanced,Structural + Chemical + Encapsulation,S2,C2,E2,trehalose; dextran; trolox; EDTA; calcium phosphate,Trehalose + Dextran,Trolox + EDTA,Calcium phosphate,high,high,high,paired encapsulation-enhanced version of G1A to test added value of physical confinement,metal-enzyme
IBC-G1-31,G1B_encapsulation_enhanced,Structural + Chemical + Encapsulation,S2,C3,E1,trehalose; dextran; trolox; glutathione; silica,Trehalose + Dextran,Trolox + Glutathione,Silica,high,high,high,paired encapsulation-enhanced version of G1A to test added value of physical confinement,cleanup/PCR
IBC-G1-32,G1B_encapsulation_enhanced,Structural + Chemical + Encapsulation,S2,C4,E2,trehalose; dextran; catalase; trolox; calcium phosphate,Trehalose + Dextran,Catalase + Trolox,Calcium phosphate,high,high,high,paired encapsulation-enhanced version of G1A to test added value of physical confinement,medium
IBC-G1-33,G1B_encapsulation_enhanced,Structural + Chemical + Encapsulation,S3,C1,E1,trehalose; PEG; trolox; silica,Trehalose + PEG,Trolox,Silica,high,high,high,paired encapsulation-enhanced version of G1A to test added value of physical confinement,polymer/MS; cleanup/PCR
IBC-G1-34,G1B_encapsulation_enhanced,Structural + Chemical + Encapsulation,S3,C2,E2,trehalose; PEG; trolox; EDTA; calcium phosphate,Trehalose + PEG,Trolox + EDTA,Calcium phosphate,high,high,high,paired encapsulation-enhanced version of G1A to test added value of physical confinement,polymer/MS; metal-enzyme
IBC-G1-35,G1B_encapsulation_enhanced,Structural + Chemical + Encapsulation,S3,C3,E1,trehalose; PEG; trolox; glutathione; silica,Trehalose + PEG,Trolox + Glutathione,Silica,high,high,high,paired encapsulation-enhanced version of G1A to test added value of physical confinement,polymer/MS; cleanup/PCR
IBC-G1-36,G1B_encapsulation_enhanced,Structural + Chemical + Encapsulation,S3,C4,E2,trehalose; PEG; catalase; trolox; calcium phosphate,Trehalose + PEG,Catalase + Trolox,Calcium phosphate,high,high,high,paired encapsulation-enhanced version of G1A to test added value of physical confinement,polymer/MS
IBC-G1-37,G1B_encapsulation_enhanced,Structural + Chemical + Encapsulation,S4,C1,E1,trehalose; glycerol; trolox; silica,Trehalose + Glycerol,Trolox,Silica,high,high,high,paired encapsulation-enhanced version of G1A to test added value of physical confinement,cleanup/PCR
IBC-G1-38,G1B_encapsulation_enhanced,Structural + Chemical + Encapsulation,S4,C2,E2,trehalose; glycerol; trolox; EDTA; calcium phosphate,Trehalose + Glycerol,Trolox + EDTA,Calcium phosphate,high,high,high,paired encapsulation-enhanced version of G1A to test added value of physical confinement,metal-enzyme
IBC-G1-39,G1B_encapsulation_enhanced,Structural + Chemical + Encapsulation,S4,C3,E1,trehalose; glycerol; trolox; glutathione; silica,Trehalose + Glycerol,Trolox + Glutathione,Silica,high,high,high,paired encapsulation-enhanced version of G1A to test added value of physical confinement,cleanup/PCR
IBC-G1-40,G1B_encapsulation_enhanced,Structural + Chemical + Encapsulation,S4,C4,E2,trehalose; glycerol; catalase; trolox; calcium phosphate,Trehalose + Glycerol,Catalase + Trolox,Calcium phosphate,high,high,high,paired encapsulation-enhanced version of G1A to test added value of physical confinement,medium
IBC-G1-41,G1B_encapsulation_enhanced,Structural + Chemical + Encapsulation,S5,C1,E1,dextran; PEG; trolox; silica,Dextran + PEG,Trolox,Silica,high,high,high,paired encapsulation-enhanced version of G1A to test added value of physical confinement,polymer/MS; cleanup/PCR
IBC-G1-42,G1B_encapsulation_enhanced,Structural + Chemical + Encapsulation,S5,C2,E2,dextran; PEG; trolox; EDTA; calcium phosphate,Dextran + PEG,Trolox + EDTA,Calcium phosphate,high,high,high,paired encapsulation-enhanced version of G1A to test added value of physical confinement,polymer/MS; metal-enzyme
IBC-G1-43,G1B_encapsulation_enhanced,Structural + Chemical + Encapsulation,S5,C3,E1,dextran; PEG; trolox; glutathione; silica,Dextran + PEG,Trolox + Glutathione,Silica,high,high,high,paired encapsulation-enhanced version of G1A to test added value of physical confinement,polymer/MS; cleanup/PCR
IBC-G1-44,G1B_encapsulation_enhanced,Structural + Chemical + Encapsulation,S5,C4,E2,dextran; PEG; catalase; trolox; calcium phosphate,Dextran + PEG,Catalase + Trolox,Calcium phosphate,high,high,high,paired encapsulation-enhanced version of G1A to test added value of physical confinement,polymer/MS
IBC-G1-45,G1B_encapsulation_enhanced,Structural + Chemical + Encapsulation,S6,C1,E1,trehalose; dextran; PEG; trolox; silica,Trehalose + Dextran + PEG,Trolox,Silica,high,high,high,paired encapsulation-enhanced version of G1A to test added value of physical confinement,polymer/MS; cleanup/PCR
IBC-G1-46,G1B_encapsulation_enhanced,Structural + Chemical + Encapsulation,S6,C2,E2,trehalose; dextran; PEG; trolox; EDTA; calcium phosphate,Trehalose + Dextran + PEG,Trolox + EDTA,Calcium phosphate,high,high,high,paired encapsulation-enhanced version of G1A to test added value of physical confinement,polymer/MS; metal-enzyme
IBC-G1-47,G1B_encapsulation_enhanced,Structural + Chemical + Encapsulation,S6,C3,E1,trehalose; dextran; PEG; trolox; glutathione; silica,Trehalose + Dextran + PEG,Trolox + Glutathione,Silica,high,high,high,paired encapsulation-enhanced version of G1A to test added value of physical confinement,polymer/MS; cleanup/PCR
IBC-G1-48,G1B_encapsulation_enhanced,Structural + Chemical + Encapsulation,S6,C4,E2,trehalose; dextran; PEG; catalase; trolox; calcium phosphate,Trehalose + Dextran + PEG,Catalase + Trolox,Calcium phosphate,high,high,high,paired encapsulation-enhanced version of G1A to test added value of physical confinement,polymer/MS
